0,1,0,1,31,31,0,1,0,1,0,1,0,1,0,1,0,1,0,1
10,11,10,11,31,31,10,11,10,11,10,11,10,11,10,11,10,11,10,11
0,1,0,1,66,31,0,1,24,25,26,31,31,27,28,29,3,-1,0,1
10,11,10,11,31,64,10,11,34,35,36,2,31,7,8,9,2,54,10,11
0,1,3,31,31,31,2,3,44,45,46,12,31,47,48,49,12,31,0,1
10,11,31,13,31,31,12,31,31,31,31,31,31,59,31,31,31,31,10,11
0,1,3,31,59,31,31,31,31,31,31,31,31,31,31,31,68,31,0,1
10,11,20,21,21,31,31,21,21,22,31,31,20,41,41,41,41,41,10,11
0,1,30,31,31,31,31,31,68,32,31,31,27,28,29,31,31,31,0,1
10,11,30,31,31,31,64,67,31,57,31,31,17,18,19,31,2,31,10,11
0,1,30,31,31,31,56,57,20,21,31,31,47,48,49,3,12,31,0,1
10,11,30,31,31,31,31,31,32,2,59,31,54,67,31,31,31,31,10,11
0,1,40,31,41,41,41,41,42,12,3,3,-1,-1,31,31,31,31,0,1
10,11,31,31,31,31,68,31,3,24,25,26,3,-1,31,56,64,31,10,11
0,1,31,3,31,2,31,31,2,34,35,36,0,1,31,31,3,31,0,1
10,11,50,51,52,12,31,31,12,44,45,46,10,11,57,31,13,3,10,11
0,1,60,61,62,3,3,31,31,31,31,68,31,2,31,31,0,1,0,1
10,11,70,71,72,64,31,31,59,31,31,31,3,12,31,31,10,11,10,11
0,1,0,1,0,1,0,1,0,1,0,1,0,1,31,31,0,1,0,1
10,11,10,11,10,11,10,11,10,11,10,11,10,11,31,31,10,11,10,11
